,BASIC DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code,State Name,District Code,District Name,Number of Blocks,Number of Clusters,Number of Villages,Total Number of Schools,Total Poulation,0-6 Population,Percentage Urban Population,Sexratio,Sex Ratio 0-6,Decadal Growth Rate,Percentage SC Population,Percentage ST Population,Overall Literacy,Female Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statecd,statename,distcd,distname,blocks,clusters,villages,totschools,totpopulation,p_06_pop,p_urb_pop,sexratio,sexratio_06,growthrate,p_sc_pop,p_st_pop,overall_lit,female_lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ANDAMAN & NICOBAR ISLANDS                         ,3501  ,ANDAMANS                                          ,3,16,83,211,237586,23616.05,55.89,874,980,13.97,0,1.72,88.49,84.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ANDAMAN & NICOBAR ISLANDS                         ,3503  ,MIDDLE AND NORTH ANDAMANS                         ,3,13,76,186,105539,11651.51,2.6,925,975,-0.07,0,0.72,84.25,79.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ANDAMAN & NICOBAR ISLANDS                         ,3502  ,NICOBARS                                          ,3,8,42,57,36819,4226.82,0,778,961,-12.48,0,64.28,77.5,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2801  ,ADILABAD                                          ,52,352,1554,4899,2737738,295675.7,27.68,1003,942,10.04,17.82,18.09,61.55,51.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2822  ,ANANTAPUR                                         ,63,550,918,5065,4083315,427114.75,28.09,977,927,12.16,14.29,3.78,64.28,54.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2823  ,CHITTOOR                                          ,66,558,1386,6304,4170468,423302.5,29.47,1002,931,11.33,18.83,3.81,72.36,63.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2820  ,CUDDAPAH                                          ,51,382,838,4553,2884524,313547.76,34.1,984,919,10.87,16.16,2.63,67.88,57.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2814  ,EAST GODAVARI                                     ,60,407,1241,5806,5151549,492488.08,25.52,1005,969,5.1,18.34,4.14,71.35,67.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2817  ,GUNTUR                                            ,57,371,719,4822,4889230,466432.54,33.89,1003,948,9.5,19.59,5.06,67.99,60.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2805  ,HYDERABAD                                         ,16,95,63,3171,4010238,419470.89,100,943,938,4.71,6.29,1.24,80.96,78.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2803  ,KARIMNAGAR                                        ,57,440,1046,4747,3811738,322854.21,26.08,1009,937,9.16,18.8,2.83,64.87,55.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2810  ,KHAMMAM                                           ,46,491,1043,4122,2798214,267509.26,23.43,1010,958,8.5,16.55,27.37,65.46,57.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2816  ,KRISHNA                                           ,50,398,929,4403,4529009,406705.01,41.01,997,953,8.15,19.28,2.93,74.37,69.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2821  ,KURNOOL                                           ,54,335,903,4080,4046601,477094.26,28.26,984,937,14.65,18.21,2.04,61.13,50.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2807  ,MAHBUBNAGAR                                       ,64,654,1453,5141,4042191,502040.12,15,975,932,15.03,17.49,8.99,56.06,45.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2804  ,MEDAK                                             ,46,454,1218,3867,3031877,348665.86,24.02,989,954,13.55,17.74,5.57,62.53,52.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2808  ,NALGONDA                                          ,59,397,1114,4695,3483648,354983.73,19,982,921,7.26,18.27,11.3,65.05,55.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2819  ,NELLORE                                           ,46,351,1048,4355,2966082,287413.35,29.07,986,945,11.15,22.49,9.65,69.15,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2802  ,NIZAMABAD                                         ,36,351,822,3222,2552073,268222.87,23.03,1038,946,8.8,14.54,7.56,62.25,52.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2818  ,PRAKASAM                                          ,56,367,963,4531,3392764,360311.54,19.52,981,932,10.9,23.19,4.45,63.53,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2806  ,RANGAREDDI                                        ,37,259,883,5270,5296396,595314.91,70.32,955,947,48.15,12.31,4.13,78.05,71.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2811  ,SRIKAKULAM                                        ,38,403,1570,4098,2699471,265358,16.16,1014,953,6.38,9.46,6.15,62.3,52.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2813  ,VISAKHAPATNAM                                     ,43,325,2224,5295,4288113,429240.11,47.51,1003,961,11.89,7.68,14.42,67.7,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2812  ,VIZIANAGARAM                                      ,34,247,1380,3460,2342868,231006.78,20.93,1016,955,4.16,10.57,10.05,59.49,50.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2809  ,WARANGAL                                          ,51,460,992,4908,3522644,324435.51,28.34,994,912,8.52,17.54,15.11,66.16,56.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2815  ,WEST GODAVARI                                     ,46,327,833,4381,3934782,363573.86,20.55,1004,970,3.45,20.62,2.77,74.32,71.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1216  ,Anjaw                                             ,4,7,88,92,21089,3389,8.02,805,954,13.77,0,77.72,59.4,46.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1212  ,CHANGLANG                                         ,7,14,288,342,147951,25477.16,11.5,914,954,17.96,0,36.35,61.9,52.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1210  ,DIBANG VALLEY                                     ,3,6,36,44,7948,1103.98,11.64,808,831,9.3,0,71.23,64.8,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1203  ,EAST KAMENG                                       ,8,24,264,287,78413,13996.72,17.95,1012,970,37.14,0,92.01,62.48,54.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1208  ,EAST SIANG                                        ,6,19,137,251,99019,12119.93,10.93,962,984,13.3,0,70.53,73.54,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1214  ,KURUNG KUMEY                                      ,10,15,267,319,89717,15538.98,18.74,1029,978,111.01,0,98.58,50.67,44.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1211  ,LOHIT                                             ,5,19,218,329,145538,23606.26,12.57,901,954,16.44,0,32.53,69.88,61.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1215  ,LOWER DIBANG VALLEY                               ,3,10,87,125,53986,7714.6,9.75,919,945,7.01,0,48.03,70.38,63.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1205  ,LOWER SUBANSIRI                                   ,3,23,159,305,82839,9990.38,10.97,975,969,48.65,0,87.81,76.33,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1204  ,PAPUM PARE                                        ,5,14,300,412,176385,23670.87,12.45,950,963,44.57,0,66.38,82.14,76.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1201  ,TAWANG                                            ,6,10,131,149,49950,5629.37,12.23,701,1005,28.33,0,69.65,60.61,48.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1213  ,TIRAP                                             ,6,9,166,244,111997,19319.48,12.08,931,950,11.63,0,87.85,52.23,41.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1209  ,UPPER SIANG                                       ,6,10,79,119,35289,4626.39,12.51,891,968,5.77,0,80.6,59.94,55.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1206  ,UPPER SUBANSIRI                                   ,9,18,227,256,83205,11315.88,12.4,982,968,50.34,0,93.86,63.96,60.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1202  ,WEST KAMENG                                       ,5,16,160,228,87013,11407.4,10.34,755,965,16.64,0,55.25,69.4,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARUNACHAL PRADESH                                 ,1207  ,WEST SIANG                                        ,12,20,274,353,112272,13854.36,10.73,916,928,8.04,0,82.64,67.62,60.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASSAM                                             ,1824  ,BAKSA                                             ,4,116,656,2220,953773,117409.46,1.28,967,962,11.17,7.69,34.84,70.53,62.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASSAM                                             ,1805  ,BARPETA                                           ,7,161,832,3405,1693190,280561.58,8.7,951,955,21.4,5.63,1.62,65.03,59.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASSAM                                             ,1804  ,BONGAIGAON                                        ,4,67,499,1368,732639,113778.84,13.76,961,965,19.58,11.21,2.55,70.44,65.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASSAM                                             ,1821  ,CACHAR                                            ,8,176,1170,2975,1736319,246904.56,18.2,958,955,20.17,15.25,1.01,80.36,74.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASSAM                                             ,1825  ,CHIRANG                                           ,2,61,501,1237,481818,70200.88,7.37,969,958,11.26,7.29,37.06,64.71,57.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASSAM                                             ,1808  ,DARRANG                                           ,3,95,546,1599,908090,149653.23,6.1,923,941,19.51,4.34,0.91,64.55,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASSAM                                             ,1813  ,DHEMAJI                                           ,3,101,1095,2123,688077,99702.36,7.04,949,945,20.3,6.45,47.45,69.07,62.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
